date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:04:26	444025/444025	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Sep%202021%2015:03:58%20GMT	https://ascentmarkets.com/	C:/ascentmarkets/ascentmarkets/ascentmarkets.com/index.html	(from )
16:04:27	42271/42271	---M-Z	200	added ('OK')	text/css	date:Thu,%2002%20Sep%202021%2022:51:36%20GMT	https://ascentmarkets.com/wp-content/themes/astra/assets/css/minified/main.min.css?ver=3.6.9	C:/ascentmarkets/ascentmarkets/ascentmarkets.com/wp-content/themes/astra/assets/css/minified/main.min0527.css	(from https://ascentmarkets.com/)
16:04:32	769/769	---MC-	200	added ('OK')	application/rss+xml	date:Mon,%2013%20Sep%202021%2015:04:29%20GMT	https://ascentmarkets.com/comments/feed/	C:/ascentmarkets/ascentmarkets/ascentmarkets.com/comments/feed/index.html	(from https://ascentmarkets.com/)
16:04:32	875/875	---MC-	200	added ('OK')	application/rss+xml	date:Fri,%2020%20Aug%202021%2020:02:01%20GMT	https://ascentmarkets.com/feed/	C:/ascentmarkets/ascentmarkets/ascentmarkets.com/feed/index.html	(from https://ascentmarkets.com/)
16:04:32	80574/80574	---M-Z	200	added ('OK')	text/css	date:Tue,%2020%20Jul%202021%2022:39:53%20GMT	https://ascentmarkets.com/wp-includes/css/dist/block-library/style.min.css?ver=5.8.1	C:/ascentmarkets/ascentmarkets/ascentmarkets.com/wp-includes/css/dist/block-library/style.minf658.css	(from https://ascentmarkets.com/)
16:04:32	121814/121814	---MCZ	200	added ('OK')	text/css	date:Tue,%2020%20Jul%202021%2022:39:53%20GMT	https://ascentmarkets.com/wp-includes/css/dist/components/style.min.css?ver=5.8.1	C:/ascentmarkets/ascentmarkets/ascentmarkets.com/wp-includes/css/dist/components/style.minf658.css	(from https://ascentmarkets.com/)
16:04:33	101352/101352	---MCZ	200	added ('OK')	text/css	date:Thu,%2009%20Sep%202021%2010:39:36%20GMT	https://ascentmarkets.com/wp-includes/css/dist/block-editor/style.min.css?ver=5.8.1	C:/ascentmarkets/ascentmarkets/ascentmarkets.com/wp-includes/css/dist/block-editor/style.minf658.css	(from https://ascentmarkets.com/)
16:04:33	2635/2635	---M-Z	200	added ('OK')	text/css	date:Tue,%2020%20Jul%202021%2022:39:53%20GMT	https://ascentmarkets.com/wp-includes/css/dist/nux/style.min.css?ver=5.8.1	C:/ascentmarkets/ascentmarkets/ascentmarkets.com/wp-includes/css/dist/nux/style.minf658.css	(from https://ascentmarkets.com/)
16:04:33	389/389	---M-Z	200	added ('OK')	text/css	date:Tue,%2020%20Jul%202021%2022:39:53%20GMT	https://ascentmarkets.com/wp-includes/css/dist/reusable-blocks/style.min.css?ver=5.8.1	C:/ascentmarkets/ascentmarkets/ascentmarkets.com/wp-includes/css/dist/reusable-blocks/style.minf658.css	(from https://ascentmarkets.com/)
16:04:34	21309/21309	---M-Z	200	added ('OK')	text/css	date:Tue,%2020%20Jul%202021%2022:39:53%20GMT	https://ascentmarkets.com/wp-includes/css/dist/editor/style.min.css?ver=5.8.1	C:/ascentmarkets/ascentmarkets/ascentmarkets.com/wp-includes/css/dist/editor/style.minf658.css	(from https://ascentmarkets.com/)
16:04:34	0/0	---M--	200	added ('OK')	text/css	date:Sat,%2031%20Jul%202021%2014:17:26%20GMT	https://ascentmarkets.com/wp-content/plugins/tradays-economic-calendar/dist/blocks.style.build.css?ver=1.0	C:/ascentmarkets/ascentmarkets/ascentmarkets.com/wp-content/plugins/tradays-economic-calendar/dist/blocks.style.build5152.css	(from https://ascentmarkets.com/)
16:04:34	3722/3722	---MCZ	200	added ('OK')	text/css	date:Thu,%2012%20Aug%202021%2006:09:30%20GMT	https://ascentmarkets.com/wp-content/plugins/builder-responsive-pricing-tables/assets/css/pricing-tables.css?ver=5.8.1	C:/ascentmarkets/ascentmarkets/ascentmarkets.com/wp-content/plugins/builder-responsive-pricing-tables/assets/css/pricing-tablesf658.css	(from https://ascentmarkets.com/)
16:04:34	2593/2593	---MCZ	200	added ('OK')	text/css	date:Tue,%2017%20Aug%202021%2010:48:41%20GMT	https://ascentmarkets.com/wp-content/plugins/cookie-law-info/public/css/cookie-law-info-public.css?ver=2.0.5	C:/ascentmarkets/ascentmarkets/ascentmarkets.com/wp-content/plugins/cookie-law-info/public/css/cookie-law-info-publicc1b4.css	(from https://ascentmarkets.com/)
16:04:35	22836/22836	---MCZ	200	added ('OK')	text/css	date:Tue,%2017%20Aug%202021%2010:48:41%20GMT	https://ascentmarkets.com/wp-content/plugins/cookie-law-info/public/css/cookie-law-info-gdpr.css?ver=2.0.5	C:/ascentmarkets/ascentmarkets/ascentmarkets.com/wp-content/plugins/cookie-law-info/public/css/cookie-law-info-gdprc1b4.css	(from https://ascentmarkets.com/)
16:04:35	47422/47422	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Aug%202021%2005:39:21%20GMT	https://ascentmarkets.com/wp-content/plugins/simple-floating-menu/assets/css/all.css?ver=1.0.0	C:/ascentmarkets/ascentmarkets/ascentmarkets.com/wp-content/plugins/simple-floating-menu/assets/css/all8a54.css	(from https://ascentmarkets.com/)
16:04:35	21153/21153	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Aug%202021%2005:39:21%20GMT	https://ascentmarkets.com/wp-content/plugins/simple-floating-menu/assets/css/eleganticons.css?ver=1.0.0	C:/ascentmarkets/ascentmarkets/ascentmarkets.com/wp-content/plugins/simple-floating-menu/assets/css/eleganticons8a54.css	(from https://ascentmarkets.com/)
16:04:35	16616/16616	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Aug%202021%2005:39:21%20GMT	https://ascentmarkets.com/wp-content/plugins/simple-floating-menu/assets/css/essential-icon.css?ver=1.0.0	C:/ascentmarkets/ascentmarkets/ascentmarkets.com/wp-content/plugins/simple-floating-menu/assets/css/essential-icon8a54.css	(from https://ascentmarkets.com/)
16:04:36	89898/89898	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Aug%202021%2005:39:21%20GMT	https://ascentmarkets.com/wp-content/plugins/simple-floating-menu/assets/css/icofont.css?ver=1.0.0	C:/ascentmarkets/ascentmarkets/ascentmarkets.com/wp-content/plugins/simple-floating-menu/assets/css/icofont8a54.css	(from https://ascentmarkets.com/)
16:04:36	82060/82060	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Aug%202021%2005:39:21%20GMT	https://ascentmarkets.com/wp-content/plugins/simple-floating-menu/assets/css/materialdesignicons.css?ver=1.0.0	C:/ascentmarkets/ascentmarkets/ascentmarkets.com/wp-content/plugins/simple-floating-menu/assets/css/materialdesignicons8a54.css	(from https://ascentmarkets.com/)
16:04:36	7279/7279	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Aug%202021%2005:39:21%20GMT	https://ascentmarkets.com/wp-content/plugins/simple-floating-menu/assets/css/style.css?ver=1.0.0	C:/ascentmarkets/ascentmarkets/ascentmarkets.com/wp-content/plugins/simple-floating-menu/assets/css/style8a54.css	(from https://ascentmarkets.com/)
16:04:37	41354/41354	---MCZ	200	added ('OK')	text/css	date:Sun,%2005%20Sep%202021%2019:52:28%20GMT	https://ascentmarkets.com/wp-content/uploads/astra-addon/astra-addon-61351ffcc657a7-65697758.css?ver=3.5.9	C:/ascentmarkets/ascentmarkets/ascentmarkets.com/wp-content/uploads/astra-addon/astra-addon-61351ffcc657a7-6569775802dd.css	(from https://ascentmarkets.com/)
16:04:37	17679/17679	---M-Z	200	added ('OK')	text/css	date:Sun,%2029%20Aug%202021%2014:02:55%20GMT	https://ascentmarkets.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.12.0	C:/ascentmarkets/ascentmarkets/ascentmarkets.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.minb683.css	(from https://ascentmarkets.com/)
16:04:38	131034/131034	---MCZ	200	added ('OK')	text/css	date:Sun,%2029%20Aug%202021%2014:02:55%20GMT	https://ascentmarkets.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.4.2	C:/ascentmarkets/ascentmarkets/ascentmarkets.com/wp-content/plugins/elementor/assets/css/frontend.minccfb.css	(from https://ascentmarkets.com/)
16:04:39	934/934	---MCZ	200	added ('OK')	text/css	date:Sun,%2029%20Aug%202021%2014:04:23%20GMT	https://ascentmarkets.com/wp-content/uploads/elementor/css/post-31.css?ver=1630245863	C:/ascentmarkets/ascentmarkets/ascentmarkets.com/wp-content/uploads/elementor/css/post-3151e1.css	(from https://ascentmarkets.com/)
16:04:39	200672/200672	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2029%20Aug%202021%2014:02:55%20GMT	https://ascentmarkets.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.10.0	C:/ascentmarkets/ascentmarkets/ascentmarkets.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons0b93.eot	(from https://ascentmarkets.com/)
